id,date,displayDate,title,url,featured,visible,status
news-018,2021-10-12,12 Oct 2021,Pengusaha Inap Desa Sarawak Lega,https://www.utusan.com.my/terkini/2021/10/pengusaha-inap-desa-sarawak-lega/,false,true,published
news-019,2021-09-27,27 Sep 2021,World Tourism Day 2021: Sarawak Commitment,https://mtcp.sarawak.gov.my/pages.php?mod=photo_gallery&sub=photo_listing&menu_id=&sub_id=&alb=236,false,true,published
news-020,2021-06-15,15 Jun 2021,Publication Seminar at UTAR Malaysia,https://news.utar.edu.my/news/2021/June/29/01/01.html,false,true,published
news-021,2021-05-27,27–28 May 2021,ICRTH2021 Closing and Declaration,https://dayakdaily.com/swak-committed-to-revitalise-tourism-industry-via-responsible-tourism-and-sustainable-devt-says-abdul-karim/,false,true,published
news-022,2020-08-28,28 Aug 2020,Launching of Journal of Responsible Tourism Management,https://www.ttrweekly.com/site/2020/08/sarawak-publishes-a-green-tourism-journal/,false,true,published
news-023,2020-08-28,28 Aug 2020,Sarawak lancar jurnal pelancongan bertanggungjawab,https://www.utusanborneo.com.my/2020/08/10/sarawak-lancar-jurnal-antarabangsa-mengenai-pelancongan-bertanggungjawab,false,true,published
news-024,2020-02-16,16 Feb 2020,Sarawak Youth Talent (SYT) 2020,https://dayakdaily.com/abdul-karim-sarawak-govt-supportive-of-youth-events-with-impact/,false,true,published
news-025,2020-01-10,10 Jan 2020,Appointment as Emerald Ambassador in East Asia,https://www.emeraldgrouppublishing.com/who-we-are/brand-ambassadors,false,true,published
news-026,2019-08-21,21–24 Aug 2019,SASEM2019 in Malacca Malaysia,https://news.utar.edu.my/news/2019/Sept/20/02/02.html,false,true,published
news-027,2019-04-12,12–14 Apr 2019,"Smart Tourism, Smart Destination Seminar",https://www.utusanborneo.com.my/2019/04/02/forum-pelancongan-pintar-destinasi-pintar-pada-12-april-ini,false,true,published
news-028,2018-09-15,15 Sep 2018,Launching of RCE in Kuching,https://www.rcenetwork.org/portal/rce-profile-detail/rce-kuching,false,true,published
news-029,2017-08-12,12 Aug 2017,Public Lecture on Creation of Entrepreneurial Mindset,https://www.theborneopost.com/2017/07/07/creation-of-new-entrepreneurial-mindset-public-lecture-on-aug-12/,false,true,published
news-030,2016-09-14,14 Sep 2016,Kaji Selidik Majukan Pelancongan Sarawak,https://amp.utusanborneo.com.my/2016/09/14/kaji-selidik-majukan-lagi-pelancongan-sarawak,false,true,published
